,emoji_symbol,emoji_name,emoji_code,emoji_description
944,🚲,Bicycle,U+1F6B2,"A bicycle, sometimes called a push bike, used for transport or sport."
945,🛴,Kick Scooter,U+1F6F4,"A non-motorized scooter, with two wheels and handles."
946,🚏,Bus Stop,U+1F68F,"A sign indicating the location of abusstop by the side of a road.Someplatforms displaythis as a red, white and blue sign which can be found in parts of Japan. This interpretation has a slight resemblance tothePepsi Globe.Otherplatforms base this emoji designon bus stop signage ofother regions."
947,🛣️,️ Motorway,"U+1F6E3, U+FE0F",A wide road shown from a first person perspective. Apple's artwork displays a road sign to Curpertino.
948,🛤️,️ Railway Track,"U+1F6E4, U+FE0F",️ Railway Track
949,⛽,Fuel Pump,U+26FD,"A fuel pump, used to fill up avehiclewith gas / petrol.Shown as red or orange on most platforms. Apple's artwork shows adropleticonand the numbers 00322 butpreviouslydisplayed the letterGon the front."
950,🚨,Police Car Light,U+1F6A8,A revolving red light seen on top of apolice car. Often used in emergency circumstances in addition to a siren making a loudwarning sound.
951,🚥,Horizontal Traffic Light,U+1F6A5,"A set of red, orange (amber) and green traffic lights, used at intersections. Lesscommon than theverticaltraffic light.Similar in appearance to thetraffic light controlsin the upper-left of every OS X windows."
952,🚦,Vertical Traffic Light,U+1F6A6,"A set of red, orange (amber) and green traffic lights, used at intersections.More common than thehorizontal traffic light."
953,🚧,Construction,U+1F6A7,"A sign used to indicate roadwork orconstruction. Generally shown as yellow and black diagonal stripes, and often used to physically block access to a road or area. May be used to imply a website or projectin progress or under construction."
954,⚓,Anchor,U+2693,"A metal device, dropped out of a boat to prevent it drifting away from the current location.An anchor also refers to a place on a webpage that may be directlylinkedto, rather than simply loading a page and requiring a user to scroll to the correct location."
955,⛵,Sailboat,U+26F5,"A sailboat, otherwise known as a sailing boat or yacht. Uses wind as the source of propulsion to move around a body of water.The color of the sails in this emojivary by platform, with vendors displaying blue sails, orange sails, or a mix of red, yellow, orange, blue or white."
956,🚤,Speedboat,U+1F6A4,"A motorized speedboat used for recreation on lakes, orother bodies of water."
957,🛳️,️ Passenger Ship,"U+1F6F3, U+FE0F",️ Passenger Ship
958,⛴️,️ Ferry,"U+26F4, U+FE0F",️ Ferry
959,🛥️,️ Motor Boat,"U+1F6E5, U+FE0F",️ Motor Boat
960,🚢,Ship,U+1F6A2,"A large ship, used for transport of people or cargo across the ocean. May be a cruise ship, commonly found aroundtropicallocations."
961,✈️,️ Airplane,"U+2708, U+FE0F","Usedeither as a literal airplane, to represent an overseas vacation, or sometimes as a proxy forairplane modeon aphoneor tablet.Use of this emojideclined in April 2020, potentially as a result of global air travel limitations."
962,🛩️,️ Small Airplane,"U+1F6E9, U+FE0F",A light aircraft which is shown with propellers on some platforms.
963,🛫,Airplane Departure,U+1F6EB,"A plane taking off from a runway. Generally displayed left-right, with the front of the plane elevated."
964,🛬,Airplane Arrival,U+1F6EC,"A plane approaching arunway for landing. Generally displayed left-right, with the front of the plane facing toward the ground in a position that may result in a crash if attempted in the real world."
965,🪂,Parachute,U+1FA82,"Parachutewas approved as part ofUnicode 12.0in 2019
and added toEmoji 12.0in 2019."
966,💺,Seat,U+1F4BA,"A seat, which could refer to any form of place tosit, with the distinction that a seat is generally fixed,and is not achairwhich can be moved.This emoji isintended to be a seaton some form of mass-transit, such as on anairplane,trainorbus.Google previouslydisplayed this as anorange woodenchair."
967,🚁,Helicopter,U+1F681,"A helicopter, which can hover in the air. Often seen in emergency circumstances such as transportingpatientsto ahospital, or forpoliceorfire-fightingactivity."
968,🚟,Suspension Railway,U+1F69F,"Similar to a monorail, a suspension railway is elevated, but the vehicle is suspended under the track."
969,🚠,Mountain Cableway,U+1F6A0,Mountain Cableway
970,🚡,Aerial Tramway,U+1F6A1,"An Aerial Tramway, most commonly seen at ski resorts, for transport between locations on a mountain. Can also be used as a tourist attraction, or as a form of public transport."
971,🛰️,️ Satellite,"U+1F6F0, U+FE0F","A satellite which orbits the earth, and is generally used for communications, weather, and GPS."
972,🚀,Rocket,U+1F680,A rocket being propelled intospace.
973,🛸,Flying Saucer,U+1F6F8,"A flying saucer, sometimes referred to as an Unidentified Flying Object (UFO). Shown on some platforms with analienat the controls and/or a beam of light emitting from the base."
974,🪐,Ringed Planet,U+1FA90,"Ringed Planetwas approved as part ofUnicode 12.0in 2019
and added toEmoji 12.0in 2019."
975,🌠,Shooting Star,U+1F320,"A stylized representation of ashooting star, a small, fast meteor that burns up in the atmosphere. Generally depicted as a gold, five-point star trailingyellow motion lines against a night sky, as if moving down to the left.May be used for astronomical stars and other content concerning space. Also may be used for flair or flourish. Sometimes used as a visual reference to NBC’sMore You Knowpublic service announcement, popular in the 1990s and featuring ashooting star logo.Not to be confused with💫 Dizzy,⭐ Star,🌟GlowingStar, or✨ Sparkles, though their applications may overlap.Google’s star is trailed, without backdrop, by yellow lines, though they werepreviouslyblue. Microsoft’s star is trailed, without backdrop, by blue lines, though they werepreviouslyyellow."
976,🌌,Milky Way,U+1F30C,"TheMilky Way– a galaxy ofbillions of stars that includesour ownsolar system andplanet earth.Shown by many platforms as a night sky, with silhouettes of mountains or hills in the foreground."
977,⛱️,️ Umbrella on Ground,"U+26F1, U+FE0F","A large, open umbrella, as provides shade at a beach or patio. Generally depicted as a striped umbrella inserted into a patch of sand and tilted to the right.Commonly used for various content concerning the beach, summer vacations (holidays), sunny weather, and relaxing outdoors.The color of the stripes variesacross platforms; Apple (no sand) and Samsung’s are red and yellow, Twitter and Facebook’s red and white, Google’s blue and white, and WhatsApp’srainbow-colored.Not to be confused withother umbrella-related emoji, such as🏖️ Beach With Umbrella, though their applications may overlap."
978,🎆,Fireworks,U+1F386,"Firework emoji, showing a explosion of colored light in the night sky, used for any number of celebrations such asNew Year's Eve.Colors vary by platform, and may include pink, purple, yellow, blue, and green."
979,🎇,Sparkler,U+1F387,"A sparkler: a form of hand-held firework often used at parties and celebrations. The sparkler is lit at one end, andheld at the other.Most platforms display this with the lit end held down, as is the style forsenko hanabi(""incense-stick fireworks"") which isa traditionalsparkler fromfrom Japan."
980,🎑,Moon Viewing Ceremony,U+1F391,"Moon Viewing Ceremonies (calledTsukimiin Japan) are held each year inautumnto celebrate thefull moonandwaxing mooninJapan.This symbolshows Japanese pampas grass anddango(sweet dessert food) which are used in the ceremony, as well as the moon in the background."
981,💴,Yen Banknote,U+1F4B4,"A banded stack of yen banknotes, the paper currency ofJapan. Color and detail vary across platforms, but usually shown in green, yellow, or pink with the yen symbol, ¥. Commonly used for various content concerning money and wealth, not restricted to Japan.Apple and WhatsApp’s designs depict the ¥1,000 banknote, Facebook’s features a Japanese character foryen(円) and acherry blossom."
982,💵,Dollar Banknote,U+1F4B5,"Cash money! A banded stack of U.S. dollar banknotes, the paper currency of theUnited States of America. Green hue and detail vary across platforms, but shown with thedollar sign, $. Commonly used for various content concerning wealth and money, not restricted to the U.S.Apple’s design depicts $1 bills withCupertinoandJohn Appleseedin the treasury signature sections. WhatsApp’s design depicts $10 bills, Facebook’s displays aStatue of Libertytorch."
983,💶,Euro Banknote,U+1F4B6,"A banded stack of euro banknotes, the paper currency of theEuropean Union(EU). Color and detail vary across platforms, but shown with the euro sign, €. Commonly used for various content concerning wealth and money, not restricted to the EU.Some vendors, including Apple and Samsung, depict green €100 bills; others, including Google, WhatsApp, and Facebook, depict blue €20 bills. Facebook additionally features theEU flag."
984,💷,Pound Banknote,U+1F4B7,"Quids in! A banded stack of pound banknotes, the paper currency of theUnited Kingdom(England,Wales,Northern Ireland, andScotland). Color and detail vary across platforms, but widely depicted as purple£20 notes with the pound sign,£.Commonly used for various content concerning wealth and money, not restricted to the U.K.Samsung's designdisplays £10 notes."
985,🗿,Moai,U+1F5FF,"Amoai, one of the famed, giant stone statues of human figureson Easter Island. Depicted as a graystone carving of a stylized human head with a prominent brow and nose, most often facing left.Sometimes used for various idiosyncratic purposes, such as conveying a stoic, deadpan, or silly expression.Its official Unicode name ofMoyaiand inclusion in early Japanese emoji sets, such as from au by KDDI, suggestthe emoji may represent theMoyai Statuenear Shibuya Station in Tokyo, Japan; previous designs fromGoogleandMicrosoftresemble the Tokyo statue. Other Tokyo landmarks are represented in🗼Tokyo Towerand, formerly,Shibuya 109."
986,🛂,Passport Control,U+1F6C2,A person checking passports at an international border.
987,🛃,Customs,U+1F6C3,A customs officer inspectingluggage. May be shown on signage at airports or other border crossings.Not to be confused with thepassport control emoji.
988,🛄,Baggage Claim,U+1F6C4,Baggage Claim
989,🛅,Left Luggage,U+1F6C5,"An icon representing a place to leave luggage. Most commonly found at Japanese trainstations to signifycoin lockerswhere bags can be stored for a daily fee.This emoji displays a suitcasewitha key above or belowit, ususually in blue."
990,💌,Love Letter,U+1F48C,"The back of anenvelope, generally shown in white and sealed with ared heart. Represents a love letter or note,valentine, or affectionate greeting card. Commonly used to convey various feelings or messages of love and happiness.Microsoft’s envelope is open, Facebook’s is pink."
991,🕳️,️ Hole,"U+1F573, U+FE0F","A round, black, cartoon-styled hole, as a manhole or ahole (cup) in golf. May be used to represent various types of literal or figurative holes, e.g., black holes, rabbit holes."
992,💣,Bomb,U+1F4A3,"A cartoon-styled bomb, depicted as a black ball with a burning fuse.Commonly used for various figurative bombs or explosions, e.g., slangbomb, a “home run” inbaseballorsoftball;""excellent"" or ""attractive."" Sometimes appliedin contexts of war, weapons, or violence.Earlierdesigns fromSoftBankandau by KDDIanimated the bomb asexploding."
993,🛀,Person Taking Bath,U+1F6C0,"A gender-unspecifiedperson taking a soothing bath in a white tub with ashowerhead.Commonly used for various content concerning bathing, washing, cleaning, and bathrooms more generally. May also represent relaxation and self-care.The appearance of the person, depicted in default yellow, varies. Apple's person is wearing a green shower cap, WhatsApp's a green washcloth. Google’s person appears to be playing in a bubble bath, withsoapsudsatop their ahead.Other major vendors show the head of the bather with short, brown or blondehair.Skin tone modifiers are available on supported platforms.Vendors implement the same or a similar tub and shower head as for their🛁Bathtub, but with a person taking/having a bath."
994,🛌,Person in Bed,U+1F6CC,"A bed with a gender-unspecified person sleeping in it, as at ahouse,hotel,hostel, or other sleeping accommodation. Used especially for various content concerningsleepingas well as beds, furniture, housing, relaxing, and other bedroom activities.Shown with a headboard at the leftand footboard with a person under the covers, head on the pillow. Most platforms suggest a wooden frame and feature blue or red sheets.The appearance of the person varies. Apple and Facebook's designs show only the hair of the sleeper, Apple's black and Facebook's brown and tousled. Other major vendors show the head of the sleeper in default yellow with short, brown or blondehair. Skin tone support is not recommended for this emoji, though it is supportedon some platforms.Vendors implement the same styleof bed as fortheir🛏️Bed, but with a sleeper in it."
995,🔪,Kitchen Knife,U+1F52A,"A knife with a long steel blade, as achefuses to slicemeator vegetables. Depicted with a black or brown handle and positioned at a 45° angle, often with its point at the lower right.May be used for content concerning cooking and food preparation, but often represents various senses of cutting and stabbing.Its Unicode name,Hocho, means “kitchen knife” in Japanese and refers to a variety of knives used inJapan.Not to be confused with🗡️Daggeror⚔️Crossed Swords."
996,🏺,Amphora,U+1F3FA,"A tall, ceramic jar with two handles and a narrow neck and foot. Represents anamphora, as used by ancient Greeks and Romans to hold water and wine.Generally depicted as brownish-red earthenware ornamented with black and a Greekmeanderpattern.May represent containers like vases, pottery, museums, history, and antiquity. May also be used in relation to thezodiac signofAquarius, the Water-Bearer.Not to be confused with⚱️Funeral Urn."
997,🗺️,️ World Map,"U+1F5FA, U+FE0F","A rectangular map of the world. Generally depicted as a paper map creased at its folds, Earth’s surface shown in green on blue ocean.Commonly represent maps, travel, exploration, and geography. May also represent various content concerning the world as a whole, e.g., global or international issues.MicrosoftandSamsung’s designpreviously depicted outlines of the continents."
998,🧭,Compass,U+1F9ED,"A magnetic compass, as used for navigation. Generally depicted in a silver or gold case with acompass roseand a red-tipped needle. Commonly used for various content concerning traveling and exploring as well as metaphorical compasses (e.g., moral compass).Google and Facebook’s markings include the initials of the four cardinal directions,north, south, east, and west. Not to be confused with various clock or timepiece emojis."
999,🧱,Brick,U+1F9F1,"A red brick or bricks. Depicted in a loose stack, a single object with holes, or as built into wall, as of ahouse,school, or other structure.Commonly used for various content concerning building and construction. May also be used for figurative bricks, e.g., slangbrick, “extremely cold (weather).”"
1000,💈,Barber Pole,U+1F488,"A pole spiraled with red, white, and blue stripes, as spins out front of abarbershop. Commonly used for various content concerning haircutting and hairstyling.May also be associated withbrothelsin parts of Asia."
1001,🦽,Manual Wheelchair,U+1F9BD,"A wheelchair without any motor. Distinct from♿ Wheelchair Symbolwhich is used as signage to indicate accessible facilities.See alsoWoman in Manual WheelchairorMan in Manual Wheelchair.Manual Wheelchairwas approved as part ofUnicode 12.0in 2019
and added toEmoji 12.0in 2019."
1002,🦼,Motorized Wheelchair,U+1F9BC,"A wheelchair with amotor. Distinct from♿ Wheelchair Symbolwhich is used as signage to indicate accessible facilities.See alsoWoman in MotorizedWheelchairorMan in Motorized Wheelchair.Motorized Wheelchairwas approved as part ofUnicode 12.0in 2019
and added toEmoji 12.0in 2019."
1003,🛢️,️ Oil Drum,"U+1F6E2, U+FE0F","A barrel for transporting bulk liquids, such as oil. Generally depicted as a red or blue metal drum with holes or a stopper on its lid. Commonly used for various content concerning petroleum or hazardous waste.Google’s design displays a yellow oil drop symbol.Samsung's designpreviouslyfeatureda yellow hazard sign."
1004,🛎️,️ Bellhop Bell,"U+1F6CE, U+FE0F","Ding! A call bell, as pressed at a frontdesk or receptionto alert staff for service, such as from aconciergeor bellhop (porter) to carryluggageat ahotel. Generally depicted as a goldenbellon a wooden stand.Commonly represents alerts or notifications to bring attention to important content. May also be used of various content concerning the hospitality and service industries.Microsoft’s design features a silver bell radiating yellow rays, as if ringing."
1005,🧳,Luggage,U+1F9F3,"A suitcase or bag, as used for traveling. Most platforms depict gray or blue rolling luggage with an extended handle. Commonly used for various content concerning traveling or taking trips, whether for business or leisure.Apple’s design features an old-fashioned, leather, trunk-styled case with graphicluggage labels/stickers, not to be confused with💼Briefcaseor👜Handbag. Google and Facebook also include such stickers.May be stored in a🛅 Coin Lockeror inspected at🛃Customs."
1006,⌛,Hourglass Done,U+231B,"A classic hourglass, all of its sand having flowed into the bottom bulb. Indicates time has passed. Color varies across platforms.Commonly used for various content concerning time. May also be used for hourglass-shaped figures. Not to be confused with⏳Hourglass Not Done, whose sand is still flowing.Used onSnapchatto indicate aSnapstreakis soon to end."
1007,⏳,Hourglass Not Done,U+23F3,"A classic hourglass, its sand still flowing from the top to bottom bulb. Indicates time is still passing—but life is short. Color varies across platforms.Commonly used for various content concerning time. May also be used for hourglass-shaped figures. Not to be confused with⌛Hourglass Done, whose sand has stopped flowing."
1008,⌚,Watch,U+231A,"A wristwatch, as used for telling time. Appearance varies across platforms, but widely depicted as an analog timepiece with a white face and brown or black straps.Used for various content concerning time, including watches as accessories. Apple's design is an Apple Watch, thoughpreviously featureda traditional watch before the product’s release."
1009,⏰,Alarm Clock,U+23F0,"A timepiece set in advance to startle a person awake at the designated time with its two bells. That is, before hitting snooze.Appearance varies across platforms, but depicted as a classic, wind-up, bedside alarm clock, often red in color.May be used for various content concerning alarms, alerts,sleeping, waking, and time more generally."
1010,⏱️,️ Stopwatch,"U+23F1, U+FE0F","An analog, handheld timepiece used to measure elapsed time, as for athletic sprints.Appearance varies across platforms, but depicted with two or more control buttons on its top.Used for various content concerning time.Not to be confused with⏰Alarm Clockor other clock emojis."
1011,⏲️,️ Timer Clock,"U+23F2, U+FE0F","Time’s up! A timer set to count down and sound an alarm after a designated amount of time, as used in the kitchen. Appearance varies by platform. Commonly used for various content concerning time, including countdowns and deadlines.Apple, WhatsApp, and Facebook’s designs resemble kitchen timers. Other designs may be confused with🕰️Mantelpiece Clockor other clock emojis."
1012,🕰️,️ Mantelpiece Clock,"U+1F570, U+FE0F","An antique-styled mantel clock with a flat base and rounded case, as made of wood and brass and placed above afireplace.Commonly used for various content concerning time.May also suggest a traditional home or old-time environment.Samsung’s design features a more modern-looking, blue clock."
1013,🌡️,️ Thermometer,"U+1F321, U+FE0F","A liquid-in-glass thermometer, as used to measure temperature. Depicted at various angles with a red liquid risen from the bulb to various levels on the scale. Commonly used for contentconcerning high temperatures, includingwarm weather, illness (having a fever), and various slang senses ofhot."
1014,⛱️,️ Umbrella on Ground,"U+26F1, U+FE0F","A large, open umbrella, as provides shade at a beach or patio. Generally depicted as a striped umbrella inserted into a patch of sand and tilted to the right.Commonly used for various content concerning the beach, summer vacations (holidays), sunny weather, and relaxing outdoors.The color of the stripes variesacross platforms; Apple (no sand) and Samsung’s are red and yellow, Twitter and Facebook’s red and white, Google’s blue and white, and WhatsApp’srainbow-colored.Not to be confused withother umbrella-related emoji, such as🏖️ Beach With Umbrella, though their applications may overlap."
1015,🧨,Firecracker,U+1F9E8,"A firecracker, as lit onChinese New Year,New Year's Eve, orIndependence Day. Depicted as a red tube with a burning fuse, sometimes lined with gold rings at its top and base.Often used with🎆 Fireworksand🎇 Sparklerfor various celebrations and holidays. Also applied tofigurative senses offire, e.g., slanghot,on fire(“excellent”).While it may resemble a stick of dynamite on some platforms, several vendor designs, such as Google and Twitter's,suggest the emoji is modeled after traditional Chinese firecrackers, as are strung together and lit on such occasions asChinese New Year."
1016,🎈,Balloon,U+1F388,"A balloon on a string, as decorates abirthdayparty. Generally depicted in red, though WhatsApp’s is pink and Google’s orangish-red.Commonly used to convey congratulations and celebration, especially when wishing someonea happy birthday.MicrosoftandSamsung'sballoons were previously blue;SoftBank'swas shown floating in the sky."
1017,🎉,Party Popper,U+1F389,"A party popper, as explodesin a shower of confetti and streamers at a celebration. Generally depicted as a gold party hat, striped on some platforms, at a 45° angle, with multicolored confetti and streamers coming from its opening at the upper right. Twitter’s cone is red.Like🎊 Confetti Ball, commonly used to convey congratulations and celebration, as onNew Year’s Eve,birthdays,wedding days,graduations, and other special occasions or good times more generally."
1018,🎊,Confetti Ball,U+1F38A,"A golden ball, split in two halves in a shower of multicolored confetti and streamers.Like🎉 Party Popper, commonly used to convey congratulations and celebration, as onNew Year’s Eve,birthdays,wedding days,graduations, and other special occasions or good times more generally.Its design across platforms—andinclusion inearly sets from au by KDDI—suggestthe emoji is a Japanesekusudama, a decorative ball used at such festive occasions as opening ceremonies."
1019,🎎,Japanese Dolls,U+1F38E,"Ornamental Japanese Emperor and Empress dolls, as displayed in celebration ofHinamatsurion March 3 in Japan (Girls’ or Dolls’ Day).Generally depictedas a Japanese Emperor (left, in blue, holding a scepter) and Empress (right, in red, holding a fan) in ceremonial court dress and seated on a tatami.When not applied toHinamatsuri, sometimes used to represent Japan, dolls, a pair of people (as a couple or two friends), and for various idiosyncratic purposes."
1020,🎏,Carp Streamer,U+1F38F,"Japanesekoinobori, decorative, carp-shaped windsocks flown in celebration ofChildren’s Dayon May 5 in Japan. Generally depicted as a blue and red stylized carp fish on a golden pole.When not applied to Children’s Day, used for various idiosyncratic purposes. SoftBank’s design resembles more traditionalkoinobori."
1021,🎐,Wind Chime,U+1F390,"A Japanesewind chime. Depicted as a glass bell with a strip of paper suspended from its clapper, often decorated withcherry blossom-like flowers.Occasionally used for content concerning various senses ofwindandchime. Thanks to its appearance, often used to represent jellyfish."
1022,🧧,Red Envelope,U+1F9E7,"A red envelope, as gifted with money onChinese New Yearor on other joyous occasions, such asweddings, inChinese and some other Asian cultures around the world.Depicted as a red, vertical envelope with a gold design, typically featuring the Chinese character福(fú, “good fortune, luck, happiness""). Google’s design features the character upside down, indicating “good luck arrives.”Often used to celebrate and wish good fortune onChinese New Year(Lunar New Year, Spring Festival). Also used to represent gifts, celebration, Chinese culture, and the color red more generally."
1023,🎀,Ribbon,U+1F380,"A pink or red ribbon, as tied into a bow on agiftorwoman's hat.Often used to indicate something is pretty, cute, or special, including on holidays. Also used of various content concerning baby girls and for its pink or red color more generally.Google’sribbon was previously orange, Facebook’sblue."
1024,🎁,Wrapped Gift,U+1F381,"A present or gift in a box tied with a bow, as given on abirthdayorChristmas. Box and ribbon color vary across platforms, but commonly depicted as a gold box with a lid wrapped with a red ribbon.Commonly used to represent gifts and presents on various holidays, celebrations, and special occasions.Samsung’s design features a red ribbon tied around a blue box with white dots. WhatsApp’s present is wrapped with blue paper and red ribbon."
1025,🤿,Diving Mask,U+1F93F,"A diving mask often used for scuba diving or other underwater activities. Generally displayed also with a snorkel.Diving Maskwas approved as part ofUnicode 12.0in 2019
and added toEmoji 12.0in 2019."
1026,🪀,Yo-Yo,U+1FA80,"Yo-Yowas approved as part ofUnicode 12.0in 2019
and added toEmoji 12.0in 2019."
1027,🪁,Kite,U+1FA81,"Kitewas approved as part ofUnicode 12.0in 2019
and added toEmoji 12.0in 2019."
1028,🔮,Crystal Ball,U+1F52E,"Acrystal ball, as afortune teller or clairvoyantgazes into to tell the future. Depicted as asparkling, purple or blue crystal orbresting on a stand.Commonly used for various content concerning magic, alternative spirituality, and (predicting) the future. May also be used for its shape or color more generally."
1029,🧿,Nazar Amulet,U+1F9FF,"Anazar, an eye-shaped amulet believed to protect against theevil eye, especially in Turkish culture. Depicted as a rich blue, circular bead with a black dot in the center ringed with white and light blue, resembling aneye.Commonly used to represent eyes, various senses of looking, various senses ofcharms, envy and jealousy, andTurkeyand Turkish culture. Also used for its blue color more generally.WhatsApp and Facebook's designs include a small hole, as for threading the amulet on a string or chain."
1030,🕹️,️ Joystick,"U+1F579, U+FE0F","Ajoystick, as used in playing classic arcade, computer, or video games. Generally depicted with a black base, red-knobbed control stick, and one or more red buttons.Commonly used for content concerning various types of gaming; occasionaly applied to aviation and aircraft.Google's base is blue. Microsoftpreviously featureda more modern design."
1031,🧸,Teddy Bear,U+1F9F8,"A classic teddy bear, as snuggled by achildwhen going to sleep.Depicted as a brown, stuffed toy bear, shown seated with its arms to the sides, hind paw pads facing forward, and a friendly smile on its face. WhatsApp, Twitter, and Facebook’s design include aribbonaround theneck.Commonly used to convey something or someone is cute or cuddly (e.g.,teddy bearas a term of endearment) as well as other warm, loving sentiments (e.g.,get well soon). May also be used for various content concerning toys and children more generally.Not to be confused with🐻 Bear Face, though their applications may overlap."
1032,🖼️,️ Framed Picture,"U+1F5BC, U+FE0F","A framed picture of a painting or photograph, as displayed in a gallery or on a household wall. Vendors feature various scenes, though generally a lush, sunny landscape of hills andmountains, in a gold frame.Commonly used for various content concerningart, museums, and interior design and decor. May also be used as an icon for a picture, as before an upload, link, or credit.Microsoft’s design showsNinja Cat, though itpreviously featuredtheMona Lisa, as didSamsung. Google's design displays the scene depicted in its🏞️ National Park."
1033,🧵,Thread,U+1F9F5,"A spool of thread, as used for sewing. Thread color varies across platforms, though often depicted in red or blue and on a wooden spool. Sometimes shown with an end unraveling.Commonly used for various content concerning sewing, knitting, arts and crafts, clothing and fashion, and metaphoricalthreads(e.g., a discussion thread online).WhatsApp’s design includes a needle."
1034,🧶,Yarn,U+1F9F6,"A ball of yarn, as used to knit ascarf. Color varies across platforms, but often depicted in green, blue, or magenta and shown with an end unraveling. Sometimes depicted with a pair of knitting needles stuck in the ball.Commonly used for various content concerning knitting and needlework (e.g.,sewing,crocheting), clothing and fashion, arts and crafts, cold weather, and cats."
1035,🛍️,️ Shopping Bags,"U+1F6CD, U+FE0F","Two colorful shopping bags, as containconsumer items bought at adepartment store. Depicted as gift bags in various bright colors, patterns, sizes, and positions across platforms. Apple's design, for instance, features a pink bag with light-pink dots in front of a gold bag with yellow stripes.Commonly used for various content concerning retail shopping, stores, goods, andgifts or presents. May also convey a sense of indulgence or self-care, à la retail therapy.Microsoft’s designpreviously featureda bag of groceries and now includes tissue paper."
1036,📿,Prayer Beads,U+1F4FF,"A string of beads, as used in prayer ormeditationin many religious traditions. Generally depicted as red, wooden beads with a gold, decorative center bead and tassel.Commonly used to represent various religious sentiments, jewelry, and magic.Samsungpreviously featuredaLatin cross, suggesting a Christianrosary, though now joins other vendor designs in resembling an Islamicmisbahaor Buddhistmala."
1037,💎,Gem Stone,U+1F48E,"A jewel or gem, as set into aring. Depicted in the shape of a classic diamond but in the bright blue color of anaquamarine.Commonly used for various content concerning jewelry, as upon an engagement ormarriage. May also convey various literal and figurative senses of beauty, wealth, sophistication, preciousness, and sparkling."
1038,📯,Postal Horn,U+1F4EF,"A postal horn (post horn). Depicted as a coiled, valveless, brass horn, like a bugle ortrumpet, with two red tassels. Sometimes used to mark announcements as well as for various content concerning brass instruments, music, or mail.In the 18–19th centuries,post hornssignaled the arrival of and cleared the way for mail coaches, like a modern-daysiren. Used today as a symbol onpostboxes(mailboxes) and by many European postal services, as seen featured in🏤 European Post Office."
1039,🎙️,️ Studio Microphone,"U+1F399, U+FE0F","A microphone, as used forradiobroadcasting or studio recording. Most platforms depict a vintage, silver microphone, like theShure Unidyne 55.Commonly used for various content concerning radio, broadcasting, music, recording, and podcasts.Not to be confused with the handheld🎤Microphone, associated with live singing."
1040,🎚️,️ Level Slider,"U+1F39A, U+FE0F","A level slider, as adjusts volume on a mixing console. Most platforms depict a silver and black channel fader with scale markings, set to various levels. Apple and Google'sgoup to eleven.Commonly used for various content concerning audio recording and production as well as music more generally. May also be used for figurative senses oflevel, e.g.,next level.Thanks to its appearance, some may use the emoji to represent aChristian cross."
1041,🎛️,️ Control Knobs,"U+1F39B, U+FE0F","Four control knobs, as adjust audio levels on a mixing console. Generally depicted as a silver square with black knobs, turned to various levels as indicated by white pointers and scale markings.Commonly used for various content concerning audio recording and production as well as music more generally."
1042,📻,Radio,U+1F4FB,"A classic portable radio, as used to listen to music, news, or sports. Depicted in various colors and styles with aspeaker, antenna, dial, and knobs.Commonly used for various content concerning radio, broadcasting, and music."
1043,🪕,Banjo,U+1FA95,"Banjowas approved as part ofUnicode 12.0in 2019
and added toEmoji 12.0in 2019."
1044,📱,Mobile Phone,U+1F4F1,"A mobile phone (cell phone), as used to text, check social media, or takeselfies. Depicted as a black or gray smartphone with a generic blue screen or multicolored app icons. Commonly used for various content concerning mobile phones, technology, and communication.The designs from Apple, Google, Microsoft, and Samsung resemble phones offered by their respective companies, e.g., iPhone. WhatsApp’s design features a night sky as its wallpaper, displaying the time as 9:34.Early designsfrom au by KDDI resemble a traditionaltelephone receiver.See also📲Mobile Phone With Arrow."
1045,📲,Mobile Phone with Arrow,U+1F4F2,"Amobile phone(cell phone) with arightwardarrowpointed at it from the left. Intended to indicate an incoming call or message, but used to represent mobile phones, technology, and communication more generally.Arrow color varies, but is often blue. Vendors implement the same design as📱 Mobile Phone."
1046,☎️,️ Telephone,"U+260E, U+FE0F","A classic telephone, as a landline home phone. Most platforms depict a red, push-button phone with thehandseton the base.Used for various content concerning literal and figurative phone-calling. Also used as an icon before a phone number.Google and Samsung’s designs feature rotary dials.See the glossary for the termblackin Unicode character names."
1047,📞,Telephone Receiver,U+1F4DE,"The handset of a traditionaltelephone, with speaker and microphone. Generally depicted in black at a 45° angle.Like☎️Telephone, used for various content concerning literal and figurative phone-calling. Also used as an icon before a phone number.Microsoft’s design is red."
1048,📟,Pager,U+1F4DF,"Apager, as worn on the waist to alert a person to a phone callor short text message. Popular in the 1980–90s beforemobile phones, though still used by some medical and emergency personnel. Very occasionally used to represent alerts, digital communication, or nostalgia for old technology.Depicted as a black device with operating buttons and a green screen displaying various (telephone) numbers across platforms, including:"
1049,📠,Fax Machine,U+1F4E0,"Afaxmachine, as scans and transmits documents over a telephone line. Common in the 1980–90s before the internet. Depicted as a white or black machine with atelephone handset, keypad, display screen, and paper in its tray. Very occasionally used as icon before a fax number or as a pun onfacts.Not to be confused with🖨️ Printer."
1050,🔋,Battery,U+1F50B,"An electric battery, as used to power such devices as aflashlight. Generally depicted as an upright, green cylinder, as aAAorD cell, with white indicators for its positive (facing up) and negative terminals.Commonly used for various content concerning electricity, charging, energy, and power, especially in figurative senses. Its green color also suggests the icon for battery power ona cell/mobile phone.Apple’s design includes avoltage symbol; WhatsApp’s battery is blue."
